Influencer insta name,Category,Followers,Top audience country,Authentic engagement,Engagement average
indiaroyale,Lifestyle,4000000.0,United States,384500.0,1100000.0
inijedar,Cinema & Actors/actresses,29400000.0,Indonesia,74500.0,99700.0
instagram,Photography,487200000.0,India,352300.0,467400.0
iqbaal.e,Cinema & Actors/actresses,13400000.0,Indonesia,271400.0,465900.0
irinashayk,Modeling,17900000.0,Russia,121800.0,169000.0
iscoalarcon,Sports with a ball,23300000.0,Spain,142700.0,206200.0
isisvalverde,Cinema & Actors/actresses,27800000.0,Brazil,79400.0,117200.0
its.michhh,Music,5300000.0,Mexico,605100.0,741200.0
itsmarziapie,Beauty,8200000.0,United States,603200.0,705100.0
itzy.all.in.us,Music,15800000.0,Indonesia,761500.0,930800.0
j.m,Music,32700000.0,United States,12700000.0,12700000.0
jackharlow,Lifestyle,5100000.0,United States,330800.0,618400.0
jacksepticeye,Computers & Gadgets,7700000.0,United States,277700.0,322300.0
jacksonwang852g7,Music,27300000.0,China,950100.0,1100000.0
jacobelordi,Cinema & Actors/actresses,13200000.0,Brazil,997400.0,1600000.0
jacquelinef143,Cinema & Actors/actresses,59300000.0,India,322000.0,391800.0
jadepicon,Modeling,19400000.0,Brazil,375200.0,818400.0
jailyneojeda,Modeling,14100000.0,United States,183100.0,253700.0
